	價格	冰箱	冷氣	區	地址	坪數	型態	天然瓦斯	床	座標	性別要求	押金	捷運站	最短租期	朝向	格局	桌子	椅子	樓層	沙發	洗衣機	火車站	熱水器	產權登記	種類	第四台	管理費	網路	編號	總樓層數	衣櫃	身份要求	車 位	開伙	電視	養寵物	現況
43	22000.0	1	1	松山區	台北市松山區八德路四段	13.0	電梯大樓	0	1	0	男女生皆可	二個月	0	一年	0	樓中樓、有陽臺	1	1	6	1	1	0	1	已辦 	0	0	1500元/月	0	6363918	0	1	學生、上班族、家庭	無	可以	1	可以	獨立套房
44	13000.0	1	1	大安區	台北市大安區龍泉街	13.0	公寓	1	1	0	男女生皆可	二個月	1	三個月	坐北朝南	有陽臺	1	0	5	0	1	0	1	已辦 	0	0	--	0	6309705	0	1	學生、上班族、家庭	無	不可以	1	不可以	獨立套房
45	12990.0	1	1	萬華區	台北市萬華區成都路27巷	6.0	公寓	0	1	0	男女生皆可	二個月	0	一年	坐南朝北	0	1	1	3	0	1	0	1	未辦 	0	1	--	1	6313474	0	1	學生、上班族	無	不可以	1	不可以	獨立套房
46	8000.0	1	1	北投區	台北市北投區尊賢街	6.0	公寓	0	1	0	男女生皆可	一個月	0	一年	0	有陽臺	1	1	4	1	1	0	1	已辦 	0	1	--	1	6383641	0	1	0	無	不可以	1	不可以	獨立套房
47	13500.0	1	1	中山區	台北市中山區新生北路三段	8.0	電梯大樓	0	1	0	男女生皆可	二個月	1	一年	坐北朝南	0	1	1	8	1	1	0	1	已辦 	0	1	--	1	3953293	0	1	學生、上班族、家庭	無	不可以	1	不可以	獨立套房
48	25000.0	1	1	松山區	台北市松山區復興北路	7.0	電梯大樓	0	1	0	男女生皆可	面議	1	1月	坐東朝西	0	1	1	5	0	1	0	1	已辦 	0	1	--	1	6341238	0	1	學生、上班族、家庭	無	不可以	1	不可以	獨立套房
49	15000.0	1	1	中正區	台北市中正區延平北路一段69巷13號	6.0	電梯大樓	0	1	0	男女生皆可	二個月	1	1年	坐北朝南	0	1	1	3	0	1	1	1	已辦 	0	1	1000元/月	1	6313670	0	1	學生、上班族、家庭	無	不可以	1	不可以	獨立套房
50	7800.0	1	1	士林區	台北市士林區小東街20號	6.0	公寓	0	1	0	男女生皆可	二個月	1	一年	0	0	1	1	4	0	1	0	1	已辦 	0	0	無	1	6363028	0	1	學生、上班族	無	不可以	1	不可以	獨立套房
51	17000.0	1	1	中正區	台北市中正區羅斯福路五段	7.0	公寓	0	1	0	男女生皆可	面議	1	30天	0	0	1	1	4	1	1	0	1	已辦 	0	1	--	1	6232670	0	1	學生、上班族、家庭	無	可以	1	不可以	獨立套房
52	14500.0	1	1	萬華區	台北市萬華區大理街159巷	9.0	公寓	0	1	0	男女生皆可	二個月	1	一年	0	0	1	1	1	0	1	1	1	已辦 	0	1	--	1	6321244	0	1	0	無	不可以	1	不可以	獨立套房
53	12000.0	1	1	文山區	台北市文山區仙岩路58巷	6.0	公寓	0	1	0	男女生皆可	面議	1	一年	0	開放式格局	1	1	5	1	1	0	1	已辦 	0	1	--	1	6346137	0	1	0	無	不可以	1	不可以	獨立套房
54	12000.0	1	1	文山區	台北市文山區興隆路三段304巷32號	6.0	電梯大樓	0	1	0	男女生皆可	二個月	1	一年	0	0	1	1	1	0	1	0	1	已辦 	0	1	--	1	6347049	0	1	學生、上班族、家庭	平面式停車位，費用另計	不可以	1	不可以	獨立套房
55	26000.0	0	1	中山區	台北市中山區南京東路二段	14.72	電梯大樓	1	0	0	男女生皆可	二個月	1	兩年	坐南朝北	有陽臺	0	0	8	0	0	0	1	已辦 	0	0	--	0	6386490	0	0	學生、上班族、家庭	機械式停車位，已含租金內	可以	0	不可以	獨立套房
56	12500.0	1	1	松山區	台北市松山區光復北路120巷	7.0	公寓	0	1	0	男女生皆可	二個月	1	三個月	坐南朝北	0	1	1	2	0	1	0	1	已辦 	0	0	--	1	6329767	0	1	上班族	無	不可以	1	不可以	獨立套房
57	10888.0	1	1	南港區	台北市南港區橫科路4巷	9.0	公寓	0	1	0	男女生皆可	二個月	1	14月	坐北朝南	0	1	1	4	1	1	1	1	已辦 	0	1	40元/月	1	6340723	0	1	學生、上班族	無	不可以	1	可以	獨立套房
58	15000.0	1	1	松山區	台北市松山區基隆路一段	7.0	電梯大樓	0	1	0	男女生皆可	二個月	1	1月	0	0	1	1	8	1	1	1	1	已辦 	0	1	--	1	6342053	0	1	學生、上班族、家庭	無	可以	1	不可以	獨立套房
59	12000.0	1	1	士林區	台北市士林區華齡街40巷	7.0	公寓	0	1	0	女生	二個月	1	一年	坐東朝西	0	1	1	3	0	1	0	1	已辦 	0	1	無	1	6319487	0	1	上班族	無	不可以	1	不可以	獨立套房
60	12999.0	1	1	南港區	台北市南港區橫科路4巷	12.0	公寓	0	1	0	男女生皆可	二個月	1	14月	坐北朝南	0	1	1	2	1	1	1	1	已辦 	0	1	--	1	6340721	0	1	學生、上班族	無	不可以	1	可以	獨立套房
61	12000.0	1	1	士林區	台北市士林區中正路614號	8.0	電梯大樓	1	1	0	男女生皆可	二個月	0	一年	0	開放式格局	1	1	3	0	1	0	1	已辦 	0	1	--	1	6385692	0	1	學生、上班族	平面式停車位，費用另計	不可以	1	不可以	獨立套房
62	10000.0	1	1	中正區	台北市中正區南陽街3號	5.0	電梯大樓	0	1	0	男女生皆可	二個月	0	一年	0	0	1	1	8	0	1	0	1	未辦 	0	0	180元/月	0	6384218	0	1	學生、上班族、家庭	無	不可以	0	不可以	獨立套房
63	15000.0	1	1	中山區	台北市中山區新生北路二段41巷	7.0	電梯大樓	0	1	0	男女生皆可	二個月	0	一年	0	有陽臺	1	1	2	1	1	0	1	已辦 	0	1	--	1	6312702	0	1	0	無	不可以	1	不可以	獨立套房
64	10500.0	1	1	萬華區	台北市萬華區寶興街	7.0	公寓	0	1	0	男女生皆可	二個月	1	一年	0	0	1	1	2	1	1	1	1	-- 	0	1	--	1	6382208	0	1	學生、上班族	無	不可以	1	不可以	獨立套房
65	12800.0	1	1	大安區	台北市大安區臥龍街	8.0	華廈	0	1	0	女生	二個月	1	一年	坐東南朝西北	有陽臺	1	1	頂樓加蓋	0	1	0	1	已辦 	0	1	--	1	6310294	0	1	上班族	無	不可以	1	不可以	獨立套房
66	17000.0	1	1	中正區	台北市中正區羅斯福路二段8巷14弄2號	8.5	透天厝	0	1	0	男女生皆可	二個月	1	一年	0	0	1	1	2	1	1	0	1	已辦 	0	1	--	1	6345122	0	1	學生、上班族	無	不可以	1	不可以	獨立套房
67	28000.0	1	1	中山區	台北市中山區市民大道三段169號	16.0	電梯大樓	0	1	0	男女生皆可	二個月	1	一年	坐西朝東	樓中樓、有陽臺	1	0	8	1	1	0	1	已辦 	0	1	--	0	6386443	0	1	學生、上班族、家庭	無	可以	1	不可以	獨立套房
68	10000.0	1	1	中正區	台北市中正區汀州路三段146號	4.0	公寓	0	1	0	女生	二個月	1	一年	0	0	1	1	4	0	1	0	1	已辦 	0	0	無	1	6398660	0	1	學生、上班族	無	不可以	1	不可以	獨立套房
69	15000.0	1	1	信義區	台北市信義區嘉興街49號	7.0	公寓	0	1	0	男女生皆可	二個月	0	一年	坐南朝北	0	1	1	2	1	1	0	1	未辦 	0	1	--	1	6310870	0	1	學生、上班族、家庭	無	可以	1	不可以	獨立套房
70	14000.0	1	1	士林區	台北市士林區基河路128號	6.0	電梯大樓	0	1	0	男女生皆可	二個月	0	一年	坐南朝北	開放式格局	1	1	9	1	1	0	1	未辦 	0	0	--	0	6367565	0	1	0	無	不可以	1	可以	獨立套房
