,冰箱,冷氣,區,地址,坪數,型態,天然瓦斯,床,性別要求,押金,捷運站,最短租期,有陽臺,樓中樓,開放式格局,桌子,椅子,樓層,沙發,洗衣機,火車站,熱水器,第四台,網路,編號,衣櫃,身份要求,車 位,開伙,隔間材料,電視,養寵物,現況,總價格
84,0,1,松山區,台北市松山區民權東路三段106巷,3,電梯大樓,0,1,男女生皆可,一個月,1,365,0,0,0,1,1,地下,0,1,0,1,0,1,5345785,0,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4800
85,1,1,北投區,台北市北投區石牌路一段39巷,7,電梯大樓,0,1,男生,一個月,1,365,0,0,0,1,1,地下,1,1,0,1,1,1,6310031,1,學生、上班族,無,不可以,其他,0,不可以,雅房,5200
86,1,1,文山區,台北市文山區羅斯福路五段212巷,5,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,地下,0,1,0,0,1,1,6317637,1,0,無,不可以,其他,1,不可以,雅房,6500
87,0,0,三重區,新北市三重區中央北路55巷,4,公寓,0,1,男女生皆可,二個月,0,180,0,0,0,1,1,地下,0,1,0,1,1,0,6334403,1,0,無,不可以,其他,1,不可以,雅房,4200
88,0,1,新莊區,新北市新莊區瓊林路38號,3,電梯大樓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,地下,0,1,0,1,1,0,6340355,1,學生、上班族、家庭,無,不可以,木板,1,不可以,雅房,4000
89,1,1,文山區,台北市文山區景興路137巷1號,6,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,地下,0,1,0,1,1,1,6340862,1,學生、上班族,無,不可以,輕材料,1,不可以,雅房,5500
90,0,0,士林區,台北市士林區忠誠路一段171巷,4,公寓,1,0,男女生皆可,二個月,0,365,0,0,0,0,1,地下,1,1,0,1,1,1,6343354,1,學生、上班族、家庭,無,可以,水泥磚牆,1,可以,雅房,5500
91,1,1,文山區,台北市文山區羅斯福路五段212巷,5,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,地下,0,1,0,1,1,1,6356764,1,0,無,不可以,其他,1,不可以,雅房,6500
92,0,1,中山區,台北市中山區建國北路二段226巷,4,公寓,1,1,女生,二個月,1,90,0,0,0,1,1,地下,0,1,0,1,1,1,6359347,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,5000
93,1,0,松山區,台北市松山區南京東路五段291巷20弄27號,7,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,地下,0,1,0,0,1,1,6360051,0,學生、上班族、家庭,無,可以,木板,1,不可以,雅房,7000
94,1,1,大安區,台北市大安區敦化南路一段177巷,4,華廈,0,0,男女生皆可,二個月,0,365,0,0,1,0,0,地下,0,1,0,0,1,1,6361486,1,0,無,不可以,水泥磚牆,1,不可以,雅房,6500
95,0,0,中山區,台北市中山區大直街39巷,7,公寓,1,1,女生,二個月,0,365,0,0,0,1,1,地下,0,1,0,0,1,1,6366948,1,學生,無,不可以,木板,0,不可以,雅房,7000
96,1,1,萬華區,台北市萬華區漢口街二段20巷11號,5,電梯大樓,1,1,男女生皆可,面議,0,365,0,0,0,1,1,地下,1,1,0,1,1,1,6369597,1,0,無,不可以,其他,1,不可以,雅房,4999
