,冰箱,冷氣,區,坪數,型態,天然瓦斯,床,性別要求,押金,捷運站,最短租期,有陽臺,樓中樓,開放式格局,桌子,椅子,樓層,沙發,洗衣機,火車站,熱水器,第四台,網路,衣櫃,身份要求,車 位,開伙,隔間材料,電視,養寵物,現況,總價格
76,0,1,信義區,4,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,1,學生、上班族、家庭,無,不可以,水泥磚牆,0,不可以,雅房,5500
77,1,1,大安區,2.5,公寓,0,1,男生,一個月,1,90,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5200
78,0,1,大安區,3,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,0,0,1,學生、上班族,無,可以,輕材料,0,不可以,雅房,6500
79,1,1,新店區,4.5,公寓,1,1,女生,一個月,1,180,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,5300
80,1,1,北投區,3,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4500
81,1,1,中山區,4,公寓,1,1,男生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,1,學生,無,不可以,輕材料,0,不可以,雅房,4800
82,0,1,松山區,9,公寓,0,1,女生,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,0,0,1,學生、上班族,無,不可以,輕材料,0,不可以,雅房,7800
83,1,0,新店區,8,公寓,1,1,男女生皆可,二個月,0,365,0,0,0,1,1,地下,1,1,0,1,1,1,1,0,無,可以,其他,1,不可以,雅房,6500
84,0,1,松山區,3,電梯大樓,0,1,男女生皆可,一個月,1,365,0,0,0,1,1,地下,0,1,0,1,0,1,0,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4800
85,1,1,北投區,7,電梯大樓,0,1,男生,一個月,1,365,0,0,0,1,1,地下,1,1,0,1,1,1,1,學生、上班族,無,不可以,其他,0,不可以,雅房,5200
86,1,1,文山區,5,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,地下,0,1,0,0,1,1,1,0,無,不可以,其他,1,不可以,雅房,6500
