"";"X1";"冰箱";"冷氣";"區";"地址";"坪數";"型態";"天然瓦斯";"床";"性別要求";"押金";"捷運站";"最短租期";"有陽臺";"樓中樓";"開放式格局";"桌子";"椅子";"樓層";"沙發";"洗衣機";"火車站";"熱水器";"第四台";"網路";"編號";"衣櫃";"身份要求";"車 位";"開伙";"隔間材料";"電視";"養寵物";"現況";"總價格";"每坪租金"
"66";6189;0;1;"萬華區";"台北市萬華區貴陽街二段";6;"電梯大樓";0;1;"女生";"二個月";1;365;0;0;0;1;0;"頂樓加蓋";0;1;0;1;0;0;6423683;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"獨立套房";8500;1416,66666666667
"67";6258;1;1;"大同區";"台北市大同區天水路51巷";6;"公寓";0;1;"男女生皆可";"二個月";0;365;0;0;0;1;1;"頂樓加蓋";0;1;0;1;1;1;6424506;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"不可以";"獨立套房";11999;1999,83333333333
"68";6298;1;1;"永和區";"新北市永和區環河東路四段84號";6;"公寓";0;0;"男女生皆可";"一個月";1;365;1;0;0;1;1;"頂樓加蓋";0;1;0;1;0;1;6425035;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"獨立套房";8000;1333,33333333333
"69";6309;1;1;"蘆洲區";"新北市蘆洲區和平路";6;"公寓";0;1;"男女生皆可";"二個月";1;365;0;0;0;1;0;"頂樓加蓋";0;1;0;1;1;1;6425159;1;"0";"無";"不可以";"水泥磚牆";1;"可以";"獨立套房";6500;1083,33333333333
"70";6356;1;1;"中山區";"台北市中山區松江路362巷";6;"公寓";1;1;"男女生皆可";"二個月";0;365;0;0;0;1;1;"頂樓加蓋";1;1;0;1;1;1;6425845;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"可以";"獨立套房";8000;1333,33333333333
"71";2;1;1;"板橋區";"新北市板橋區南雅西路二段";7;"公寓";0;1;"男女生皆可";"二個月";0;365;1;0;0;1;1;"頂樓加蓋";0;1;0;1;1;1;1772061;0;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";8000;1142,85714285714
"72";32;1;1;"內湖區";"台北市內湖區成功路四段182巷";7;"公寓";0;1;"男女生皆可";"面議";1;365;0;0;0;1;1;"頂樓加蓋";0;1;0;1;1;1;3738354;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"可以";"獨立套房";8500;1214,28571428571
"73";108;1;1;"中山區";"台北市中山區民生東路二段147巷";7;"公寓";0;1;"女生";"二個月";1;180;0;0;0;1;1;"頂樓加蓋";0;1;0;1;1;1;5313157;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";7000;1000
"74";199;1;1;"中和區";"新北市中和區中山路二段";7;"公寓";0;1;"男女生皆可";"面議";0;365;0;0;0;1;1;"頂樓加蓋";1;1;0;1;0;1;6220630;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"可以";"獨立套房";9500;1357,14285714286
"75";289;1;1;"北投區";"台北市北投區懷德街";7;"公寓";1;1;"男女生皆可";"二個月";1;365;0;0;0;1;1;"頂樓加蓋";0;1;0;1;0;0;6302289;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"獨立套房";8500;1214,28571428571
"76";524;1;1;"內湖區";"台北市內湖區康樂街76巷6號";7;"公寓";0;1;"男女生皆可";"二個月";0;365;0;0;0;1;1;"頂樓加蓋";1;1;0;1;0;0;6310974;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"獨立套房";8000;1142,85714285714
"77";579;1;1;"板橋區";"新北市板橋區三民路";7;"公寓";0;1;"男女生皆可";"二個月";0;365;1;0;0;1;1;"頂樓加蓋";0;1;0;1;1;1;6312704;1;"0";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";7000;1000
"78";985;1;1;"土城區";"新北市土城區金城路三段73巷";7;"公寓";0;1;"男女生皆可";"一個月";0;365;1;0;0;0;1;"頂樓加蓋";0;1;0;1;1;1;6324961;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";6500;928,571428571429
"79";1306;1;1;"中和區";"新北市中和區員山路148巷45號";7;"電梯大樓";0;1;"男女生皆可";"二個月";0;365;0;0;0;1;1;"頂樓加蓋";0;1;0;0;1;0;6335010;1;"0";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";7000;1000
"80";1425;1;1;"蘆洲區";"新北市蘆洲區信義路222巷";7;"公寓";0;1;"男女生皆可";"二個月";0;365;0;0;1;1;1;"頂樓加蓋";0;1;0;1;1;1;6338322;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";8500;1214,28571428571
"81";2190;1;1;"新店區";"新北市新店區寶宏路";7;"公寓";0;1;"男女生皆可";"二個月";0;365;0;0;0;1;1;"頂樓加蓋";0;1;0;1;0;1;6356843;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";6000;857,142857142857
"82";2196;1;1;"中山區";"台北市中山區新生北路一段";7;"公寓";0;1;"男女生皆可";"二個月";1;365;0;0;0;1;1;"頂樓加蓋";1;1;0;1;0;1;6356892;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"可以";"獨立套房";13500;1928,57142857143
"83";2363;1;1;"中和區";"新北市中和區中山路二段";7;"公寓";0;1;"男女生皆可";"二個月";0;365;0;0;0;1;1;"頂樓加蓋";1;1;0;1;1;1;6360286;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";6500;928,571428571429
