@relation yaFang_no_outlier
@attribute X1 numeric
@attribute X冰箱 numeric
@attribute X冷氣 numeric
@attribute X區 numeric
@attribute X地址 numeric
@attribute X坪數 numeric
@attribute X型態 numeric
@attribute X天然瓦斯 numeric
@attribute X床 numeric
@attribute X性別要求 numeric
@attribute X押金 numeric
@attribute X捷運站 numeric
@attribute X最短租期 numeric
@attribute X有陽臺 numeric
@attribute X樓中樓 numeric
@attribute X開放式格局 numeric
@attribute X桌子 numeric
@attribute X椅子 numeric
@attribute X樓層 numeric
@attribute X沙發 numeric
@attribute X洗衣機 numeric
@attribute X火車站 numeric
@attribute X熱水器 numeric
@attribute X第四台 numeric
@attribute X網路 numeric
@attribute X編號 numeric
@attribute X衣櫃 numeric
@attribute X身份要求 numeric
@attribute "X車 位" numeric
@attribute X開伙 numeric
@attribute X隔間材料 numeric
@attribute X電視 numeric
@attribute X養寵物 numeric
@attribute X現況 numeric
@attribute X總價格 numeric
@attribute 每坪租金 numeric
@data
1009,1,1,深坑區,新北市深坑區北深路二段81巷8弄19號,6,公寓,1,1,男女生皆可,一個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6396796,1,0,無,可以,其他,1,不可以,雅房,4000,666.666666666667
1079,1,1,板橋區,新北市板橋區陽明街72號,5,公寓,0,1,女生,一個月,1,365,0,0,0,1,1,頂樓加蓋,0,0,0,0,0,1,6401389,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4000,800
1108,0,1,板橋區,新北市板橋區東門街,6,公寓,1,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6403635,1,學生、上班族,無,不可以,輕材料,1,不可以,雅房,5800,966.666666666667
1128,1,1,松山區,台北市松山區光復北路161巷,4.5,公寓,0,1,男生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,0,1,6404759,1,學生、上班族,無,不可以,其他,0,不可以,雅房,5800,1288.88888888889
1140,1,1,士林區,台北市士林區文林路62號,5.5,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6405624,1,學生、上班族,無,可以,其他,0,不可以,雅房,7000,1272.72727272727
1152,1,1,內湖區,台北市內湖區內湖路一段613號,4,公寓,0,1,男女生皆可,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6406659,1,0,無,不可以,輕材料,1,不可以,雅房,6200,1550
1216,1,1,大安區,台北市大安區羅斯福路二段101巷,5,公寓,1,1,男女生皆可,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6412153,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,9000,1800
1236,1,1,文山區,台北市文山區景華街128巷,4,公寓,1,1,男生,二個月,0,365,0,0,0,1,0,頂樓加蓋,0,1,0,1,1,1,6413730,1,學生、上班族,無,不可以,輕材料,0,不可以,雅房,5300,1325
1258,1,1,三重區,新北市三重區忠孝路三段7巷38號,8,公寓,1,1,女生,一個月,0,180,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6414713,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,4800,600
1275,1,1,板橋區,新北市板橋區自由路26巷,4.5,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6415858,1,學生、上班族,無,不可以,輕材料,1,不可以,雅房,4500,1000
