@relation duLiTao_no_outlier
@attribute X1 numeric
@attribute X冰箱 numeric
@attribute X冷氣 numeric
@attribute X區 numeric
@attribute X地址 numeric
@attribute X坪數 numeric
@attribute X型態 numeric
@attribute X天然瓦斯 numeric
@attribute X床 numeric
@attribute X性別要求 numeric
@attribute X押金 numeric
@attribute X捷運站 numeric
@attribute X最短租期 numeric
@attribute X有陽臺 numeric
@attribute X樓中樓 numeric
@attribute X開放式格局 numeric
@attribute X桌子 numeric
@attribute X椅子 numeric
@attribute X樓層 numeric
@attribute X沙發 numeric
@attribute X洗衣機 numeric
@attribute X火車站 numeric
@attribute X熱水器 numeric
@attribute X第四台 numeric
@attribute X網路 numeric
@attribute X編號 numeric
@attribute X衣櫃 numeric
@attribute X身份要求 numeric
@attribute "X車 位" numeric
@attribute X開伙 numeric
@attribute X隔間材料 numeric
@attribute X電視 numeric
@attribute X養寵物 numeric
@attribute X現況 numeric
@attribute X總價格 numeric
@attribute 每坪租金 numeric
@data
3816,1,1,板橋區,新北市板橋區僑中二街8巷,6,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,0,1,6388975,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,5500,916.666666666667
3917,1,1,新店區,新北市新店區寶中路,6,公寓,1,1,男女生皆可,二個月,0,365,0,0,1,1,0,頂樓加蓋,0,1,0,0,1,1,6390445,1,0,無,不可以,水泥磚牆,1,不可以,獨立套房,8000,1333.33333333333
4046,1,1,永和區,新北市永和區得和路,6,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6392356,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,7000,1166.66666666667
4241,1,1,板橋區,新北市板橋區光明街,6,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6395493,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,7000,1166.66666666667
4256,1,1,永和區,新北市永和區仁愛路,6,公寓,1,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6395726,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,8500,1416.66666666667
4363,1,1,永和區,新北市永和區得和路125巷,6,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6397082,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,7000,1166.66666666667
4658,1,1,蘆洲區,新北市蘆洲區民權路,6,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6401411,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,8500,1416.66666666667
5122,1,1,土城區,新北市土城區延壽路13巷,6,公寓,0,1,男女生皆可,二個月,0,365,0,0,1,1,1,頂樓加蓋,0,1,0,1,1,1,6407438,1,0,無,可以,水泥磚牆,1,不可以,獨立套房,6000,1000
5193,1,1,板橋區,新北市板橋區板新路,6,公寓,0,1,女生,二個月,1,180,0,0,0,1,1,頂樓加蓋,0,1,1,1,0,1,6408304,1,學生、上班族,無,可以,水泥磚牆,1,不可以,獨立套房,6500,1083.33333333333
5333,1,1,信義區,台北市信義區仁愛路四段512巷6號,6,電梯大樓,1,1,女生,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6410230,1,學生、上班族,無,可以,水泥磚牆,1,不可以,獨立套房,11000,1833.33333333333
5502,1,1,新莊區,新北市新莊區八德街78巷,6,公寓,0,1,男女生皆可,面議,0,365,0,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6413418,1,學生、上班族、家庭,無,可以,水泥磚牆,1,可以,獨立套房,7500,1250
5505,1,1,大安區,台北市大安區和平東路二段118巷,6,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6413458,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,9500,1583.33333333333
5608,1,1,永和區,新北市永和區永貞路287巷,6,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6414764,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,10000,1666.66666666667
5861,1,1,蘆洲區,新北市蘆洲區民權路,6,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6418841,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,8500,1416.66666666667
5887,1,1,蘆洲區,新北市蘆洲區長安街375巷,6,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6419200,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,7000,1166.66666666667
5987,1,1,內湖區,台北市內湖區康樂街,6,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6420722,1,學生、上班族,無,可以,水泥磚牆,1,不可以,獨立套房,10000,1666.66666666667
6154,1,1,蘆洲區,新北市蘆洲區永平街32巷,6,公寓,0,1,男女生皆可,面議,0,365,0,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6423160,1,學生、上班族、家庭,無,可以,水泥磚牆,1,不可以,獨立套房,8500,1416.66666666667
